district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
169,SAHARANPUR,34,29.9856799,77.5040646,3466382,1834106,1632276,519591,275377,244214
170,MUZAFFARNAGAR,34,29.4496978,77.7429333,4143512,2193434,1950078,646062,346805,299257
171,BIJNOR,34,29.4074203,78.4821406,3682713,1921215,1761498,564230,299659,264571
172,MORADABAD,34,28.8796553,78.8095335,4772006,2503186,2268820,784219,409325,374894
173,RAMPUR,34,28.7934728,79.1845806,2335819,1223889,1111930,379227,197151,182076
174,JYOTIBA PHULE NAGAR,34,19.1325956,72.9195901,1840221,963449,876772,300231,157737,142494
175,MEERUT,34,29.0018557,77.7679671,3443689,1825743,1617946,503719,272034,231685
176,BAGHPAT,34,29.0374779,77.3062737,1303048,700070,602978,194979,105924,89055
177,GHAZIABAD,34,28.7749966,77.4586967,4681645,2488834,2192811,681231,368162,313069
178,GAUTAM BUDDHA NAGAR,34,28.368716,77.5970121,1648115,890214,757901,246598,133835,112763
179,BULANDSHAHR ,34,28.3874073,77.9743805,3499171,1845260,1653911,549796,296558,253238
180,ALIGARH,34,27.8761073,78.1358153,3673889,1951996,1721893,574509,306019,268490
181,MAHAMAYA NAGAR,34,26.5093135,82.6138656,1564708,836127,728581,248106,133057,115049
182,MATHURA,34,27.4955539,77.6855554,2547184,1367125,1180059,404276,216224,188052
183,AGRA,34,27.1752554,78.0098161,4418797,2364953,2053844,673955,362234,311721
184,FIROZABAD,34,27.1941954,78.4604956,2498156,1332046,1166110,382319,203259,179060
185,MAINPURI,34,27.2093072,79.0625369,1868529,993377,875152,284349,150943,133406
186,BUDAUN,34,28.0367001,79.1234,3681896,1967759,1714137,664909,350112,314797
187,BAREILLY,34,28.4582344,79.4047452,4448359,2357665,2090694,701416,368591,332825
188,PILIBHIT,34,28.4947158,80.1076122,2031007,1072002,959005,304920,159509,145411
189,SHAHJAHANPUR,34,27.9128583,79.7476254,3006538,1606403,1400135,502625,264106,238519
190,KHERI,34,28.116667,80.716667,4021243,2123187,1898056,662296,344806,317490
191,SITAPUR,34,27.5026747,80.8335139,4483992,2375264,2108728,747558,387417,360141
192,HARDOI,34,27.3369978,80.0998232,4092845,2191442,1901403,652496,343617,308879
193,UNNAO,34,26.5673264,80.6198193,3108367,1630087,1478280,435915,227015,208900
194,LUCKNOW,34,26.8381,80.9346001,4589838,2394476,2195362,543641,283952,259689
195,RAE BARELI,34,26.25,81.25,3405559,1752542,1653017,482517,250501,232016
196,FARRUKHABAD,34,27.4362002,79.4894778,1885204,1006240,878964,302612,160230,142382
197,KANNAUJ,34,26.9986675,79.6927946,1656616,881776,774840,257682,135758,121924
198,ETAWAH,34,26.7155629,79.0917098,1581810,845856,735954,227470,121295,106175
199,AURAIYA,34,26.6558215,79.5160757,1379545,740040,639505,200517,105739,94778
200,KANPUR DEHAT,34,26.4585639,79.8548052,1796184,963255,832929,251965,132839,119126
201,KANPUR NAGAR,34,26.4410107,80.2652803,4581268,2459806,2121462,509924,272268,237656
202,JALAUN ,34,26.1048633,79.3919136,1689974,906092,783882,231997,123342,108655
203,JHANSI,34,25.529855,78.6527802,1998603,1057436,941167,260373,139559,120814
204,LALITPUR,34,24.6999688,78.51862,1221592,641011,580581,212205,110745,101460
205,HAMIRPUR,34,25.75,80.0,1104285,593537,510748,154355,81834,72521
206,MAHOBA,34,25.3615938,79.706011,875958,466358,409600,128129,67720,60409
207,BANDA,34,25.4438537,80.5595237,1799410,965876,833534,294972,155080,139892
208,CHITRAKOOT,34,25.2171389,81.1045927,991730,527721,464009,175311,91919,83392
209,FATEHPUR,34,25.8348023,80.9154547,2632733,1384722,1248011,390089,204562,185527
210,PRATAPGARH,34,25.75,81.75,3209141,1606085,1603056,453347,236478,216869
211,KAUSHAMBI,34,25.5342456,81.4493567,1599596,838485,761111,272172,141512,130660
212,ALLAHABAD ,34,25.4381302,81.8338005,5954391,3131807,2822584,885355,467694,417661
213,BARA BANKI,34,26.9013312,81.2151601,3260699,1707073,1553626,519867,269084,250783
214,FAIZABAD,34,39.6003856,77.2571513,2470996,1259628,1211368,360082,186440,173642
215,AMBEDKAR NAGAR,34,26.4045941,82.6065154,2397888,1212410,1185478,339229,175552,163677
216,SULTANPUR,34,26.2604732,82.2380532,3797117,1914586,1882531,563373,293043,270330
217,BAHRAICH,34,27.7343823,81.47654,3487731,1843884,1643847,654794,338419,316375
218,SHRAWASTI,34,19.1550091,72.8403173,1117361,593897,523464,211706,109818,101888
219,BALRAMPUR,34,27.4476988,82.3956245,2148665,1114721,1033944,394710,202424,192286
220,GONDA,34,27.1103723,81.9238906,3433919,1787146,1646773,572386,297178,275208
221,SIDDHARTHNAGAR,34,27.2511723,82.8716528,2559297,1295095,1264202,485138,250683,234455
222,BASTI,34,26.8387083,82.5350919,2464464,1255272,1209192,390969,202683,188286
223,SANT KABIR NAGAR,34,26.755082,83.0398545,1715183,869656,845527,283912,146188,137724
224,MAHRAJGANJ,34,27.1837262,83.4917301,2684703,1381754,1302949,423537,219357,204180
225,GORAKHPUR,34,26.6677977,83.3642334,4440895,2277777,2163118,628442,329252,299190
226,KUSHINAGAR,34,26.7438272,83.9162322,3564544,1818055,1746489,568581,294828,273753
227,DEORIA,34,26.4239911,83.7638578,3100946,1537436,1563510,464516,241353,223163
228,AZAMGARH,34,26.023639,83.0293105,4613913,2285004,2328909,706085,367885,338200
229,MAU,34,26.0390904,83.4985846,2205968,1114709,1091259,341182,177105,164077
230,BALLIA,34,25.8749594,84.1210329,3239774,1672902,1566872,471852,248293,223559
231,JAUNPUR,34,25.7967065,82.4888992,4494204,2220465,2273739,676216,352561,323655
232,GHAZIPUR,34,25.6034862,83.5075888,3620268,1855075,1765193,558559,292774,265785
233,CHANDAULI,34,25.125695,83.2494601,1952756,1017905,934851,309597,162019,147578
234,VARANASI,34,25.3356491,83.0076292,3676841,1921857,1754984,497151,263762,233389
235,SANT RAVIDAS NAGAR (BHADOHI),34,25.424304,82.4883923,1578213,807099,771114,258583,135979,122604
236,MIRZAPUR,34,24.9316896,82.6280163,2496970,1312302,1184668,410621,215841,194780
237,SONBHADRA,34,24.4148159,83.0637517,1862559,971344,891215,323092,167870,155222
238,ETAH,34,27.5550357,78.5992221,1774480,947339,827141,284227,151291,132936
239,KANSHIRAM NAGAR,34,13.0895889,77.5389719,1436719,764165,672554,248759,131396,117363
